Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
56510927,The Future of Text: A 2020 Vision,Frode Alexander Hegland,"Hegland, Frode Alexander",,"=""""","=""9798556866782""",0,0.0,,Paperback,,2020,,,2021/12/06,to-read,to-read (#607),to-read,,,,0,,,0,,,,,
9498496,Merchants of Doubt: How a Handful of Scientists Obscured the Truth on Issues from Tobacco Smoke to Climate Change,Naomi Oreskes,"Oreskes, Naomi",Erik M. Conway,"=""1608193942""","=""9781608193943""",0,4.18,Bloomsbury Press (NY et al.),Paperback,368,2011,2010,,2021/12/06,to-read,to-read (#606),to-read,,,,0,,,0,,,,,
58283087,"Sapiens: A Graphic History, Volume 2: The Pillars of Civilization",David Vandermeulen,"Vandermeulen, David",Yuval Noah Harari,"=""0063212226""","=""9780063212220""",0,4.28,Harper,Hardcover,256,2021,2021,,2021/12/06,to-read,to-read (#605),to-read,,,,0,,,0,,,,,
54110137,"Sapiens: A Graphic History, Volume 1 - The Birth of Humankind",David Vandermeulen,"Vandermeulen, David","Daniel Casanave, Yuval Noah Harari","=""0063055082""","=""9780063055087""",0,4.41,Harper,Hardcover,248,2020,2020,,2021/12/06,to-read,to-read (#604),to-read,,,,0,,,0,,,,,
53481975,"Empowered: Ordinary People, Extraordinary Products",Marty Cagan,"Cagan, Marty",Chris Jones,"=""111969129X""","=""9781119691297""",0,4.38,Wiley,Hardcover,432,2020,,,2021/12/06,to-read,to-read (#603),to-read,,,,0,,,0,,,,,
35249663,Inspired: How to Create Tech Products Customers Love,Marty Cagan,"Cagan, Marty",,"=""1119387507""","=""9781119387503""",4,4.24,Wiley,Hardcover,349,2017,2008,,2021/12/06,,,read,,,,1,,,0,,,,,
35528537,The Goal: A Business Graphic Novel,Eliyahu M. Goldratt,"Goldratt, Eliyahu M.","Dwight Jon  Zimmerman, Dean Motter","=""0884272079""","=""9780884272076""",3,4.22,North River Press,Paperback,130,2017,,,2021/12/06,,,read,,,,1,,,0,,,,,
15865021,The Goal: A Process of Ongoing Improvement,Eliyahu M. Goldratt,"Goldratt, Eliyahu M.",,"=""0884271951""","=""9780884271956""",3,4.07,North River Press,Paperback,407,2012,1984,,2021/12/06,,,read,,,,1,,,0,,,,,
56269264,The Dawn of Everything: A New History of Humanity,David Graeber,"Graeber, David",David Wengrow,"=""0374157359""","=""9780374157357""",0,4.33,"Farrar, Straus and Giroux",Hardcover,704,2021,2021,,2021/12/06,to-read,to-read (#602),to-read,,,,0,,,0,,,,,
25814544,Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,Jake Knapp,"Knapp, Jake","John Zeratsky, Brad Kowitz","=""""","=""9781501121746""",3,4.20,Simon  Schuster,Hardcover,274,2016,2016,,2021/12/06,,,read,,,,1,,,0,,,,,
55918690,Becoming Trader Joe: How I Did Business My Way and Still Beat the Big Guys,Joe Coulombe,"Coulombe, Joe",Patty Civalleri,"=""1400225434""","=""9781400225439""",0,3.48,HarperCollins Leadership,Paperback,288,2021,2021,,2021/12/06,to-read,to-read (#601),to-read,,,,0,,,0,,,,,
213144,The Relevance of the Beautiful and Other Essays,Hans-Georg Gadamer,"Gadamer, Hans-Georg","Robert Bernasconi, Nicholas Walker","=""0521339537""","=""9780521339537""",0,4.20,Cambridge University Press,Paperback,220,1987,1986,,2021/12/06,to-read,to-read (#600),to-read,,,,0,,,0,,,,,
387088,"Actual Minds, Possible Worlds",Jerome Bruner,"Bruner, Jerome",,"=""0674003667""","=""9780674003668""",4,3.92,Harvard University Press,Paperback,222,1987,1985,,2021/12/06,,,read,,,,1,,,0,,,,,
2018191,Truth and Method,Hans-Georg Gadamer,"Gadamer, Hans-Georg",,"=""0826405851""","=""9780826405852""",0,4.17,Continuum,Paperback,632,2004,1960,,2021/12/06,to-read,to-read (#599),to-read,,,,0,,,0,,,,,
57866282,The Essence of Software: Why Concepts Matter for Great Design,Daniel  Jackson,"Jackson, Daniel",,"=""0691225389""","=""9780691225388""",4,4.11,Princeton University Press,Hardcover,336,2021,,,2021/12/06,,,read,,,,1,,,0,,,,,
127932,Java Concurrency in Practice,Brian Goetz,"Goetz, Brian","Tim Peierls, Joshua Bloch, Joseph Bowbeer, David         Holmes, Doug Lea","=""0321349601""","=""9780321349606""",4,4.46,Addison-Wesley Professional,Paperback,403,2006,2005,,2021/12/06,,,read,,,,1,,,0,,,,,
7495481,Other Minds: How Humans Bridge the Divide between Self and Others,Bertram F. Malle,"Malle, Bertram F.",Sara D. Hodges,"=""1593851871""","=""9781593851873""",0,4.50,The Guilford Press,Hardcover,354,2005,2005,,2021/12/06,to-read,to-read (#598),to-read,,,,0,,,0,,,,,
3414852,"How the Mind Explains Behavior: Folk Explanations, Meaning, and Social Interaction",Bertram F. Malle,"Malle, Bertram F.",,"=""0262134454""","=""9780262134453""",0,3.72,Bradford Book,Hardcover,324,2004,2004,,2021/12/06,to-read,to-read (#597),to-read,,,,0,,,0,,,,,
6926573,Causality,Judea Pearl,"Pearl, Judea",,"=""052189560X""","=""9780521895606""",0,4.15,Cambridge University Press,Hardcover,484,2009,2000,,2021/12/06,to-read,to-read (#596),to-read,,,,0,,,0,,,,,
759695,"Making Stories: Law, Literature, Life",Jerome Bruner,"Bruner, Jerome",,"=""0374200246""","=""9780374200244""",0,3.98,"Farrar, Straus and Giroux",Hardcover,112,2002,2002,,2021/12/06,to-read,to-read (#595),to-read,,,,0,,,0,,,,,
7918993,The Culture of Education,Jerome Bruner,"Bruner, Jerome",,"=""0674179528""","=""9780674179523""",0,3.91,Harvard University Press,Hardcover,224,1996,1996,,2021/12/06,to-read,to-read (#594),to-read,,,,0,,,0,,,,,
1900791,The World of Aldus Manutius: Business and Scholarship in Renaissance Venice,Martin Lowry,"Lowry, Martin",,"=""0801412145""","=""9780801412141""",0,3.86,Cornell University Press,Unknown Binding,350,1979,1979,,2021/12/06,to-read,to-read (#593),to-read,,,,0,,,0,,,,,
46149993,ISE Principles of Corporate Finance,Richard A. Brealey,"Brealey, Richard A.","Stewart Myers, Franklin Allen","=""1260565556""","=""9781260565553""",0,3.93,McGraw-Hill Education,Paperback,992,2019,1980,,2021/08/09,to-read,to-read (#583),to-read,,,,0,,,0,,,,,
8100443,Reading in the Brain: The New Science of How We Read,Stanislas Dehaene,"Dehaene, Stanislas",,"=""0143118056""","=""9780143118053""",0,4.04,Penguin Books,Paperback,400,2010,2007,,2017/02/07,to-read,to-read (#146),to-read,,,,0,,,0,,,,,
4038322,Representation And Understanding: Studies In Cognitive Science,Daniel G. Bobrow,"Bobrow, Daniel G.",Allan Collins,"=""0121085503""","=""9780121085506""",0,0.0,Morgan Kaufmann Publishers,Hardcover,427,,,,2021/08/09,to-read,to-read (#592),to-read,,,,0,,,0,,,,,
55836847,The Web of Meaning: Integrating Science and Traditional Wisdom to Find Our Place in the Universe,Jeremy Lent,"Lent, Jeremy",,"=""0865719543""","=""9780865719545""",4,4.42,New Society Publishers,Hardcover,464,2021,,,2021/08/09,,,read,,,,1,,,0,,,,,
1120140,"Evolution in Four Dimensions: Genetic, Epigenetic, Behavioral, and Symbolic Variation in the History of Life",Eva Jablonka,"Jablonka, Eva",Marion J. Lamb,"=""0262101076""","=""9780262101073""",0,4.18,MIT Press (MA),Hardcover,462,2005,2005,,2021/08/09,to-read,to-read (#591),to-read,,,,0,,,0,,,,,
55271288,Extra Life: A Short History of Living Longer,Steven Johnson,"Johnson, Steven",,"=""0525538852""","=""9780525538851""",0,4.23,Riverhead Books,Hardcover,320,2021,,,2021/08/09,to-read,to-read (#590),to-read,,,,0,,,0,,,,,
636140,Language and Species,Derek Bickerton,"Bickerton, Derek",,"=""0226046117""","=""9780226046112""",0,4.07,University of Chicago Press,Paperback,305,1992,1990,,2021/08/09,to-read,to-read (#588),to-read,,,,0,,,0,,,,,
33296324,The Interpretation of Cultures,Clifford Geertz,"Geertz, Clifford",Robert Darnton,"=""0465093558""","=""9780465093557""",0,4.11,Basic Books,Paperback,576,2017,1973,,2021/08/09,to-read,to-read (#589),to-read,,,,0,,,0,,,,,
349417,Implementing Lean Software Development: From Concept to Cash,Mary Poppendieck,"Poppendieck, Mary",Tom Poppendieck,"=""0321437381""","=""9780321437389""",4,4.19,Addison-Wesley Professional,Paperback,276,2006,2006,,2021/08/09,,,read,,,,1,,,0,,,,,
82120,The Worldly Philosophers,Robert L. Heilbroner,"Heilbroner, Robert L.",,"=""068486214X""","=""9780684862149""",0,4.15,Touchstone/Simon & Schuster (NY),Paperback,368,1999,1953,,2021/08/09,to-read,to-read (#587),to-read,,,,0,,,0,,,,,
48574083,A Random Walk Down Wall Street: The Time-Tested Strategy for Successful Investing,Burton G. Malkiel,"Malkiel, Burton G.",,"=""0393358380""","=""9780393358384""",4,4.12,W. W. Norton  Company,Paperback,480,2020,1973,,2021/08/09,,,read,,,,1,,,0,,,,,
1675512,"Natural-Born Cyborgs: Minds, Technologies, and the Future of Human Intelligence",Andy  Clark,"Clark, Andy",,"=""0195148665""","=""9780195148664""",0,3.81,"Oxford University Press, USA",Hardcover,240,2003,2003,,2021/08/09,to-read,to-read (#586),to-read,,,,0,,,0,,,,,
2429021,The Mind in the Cave: Consciousness and the Origins of Art,James David Lewis-Williams,"Lewis-Williams, James David",,"=""0500051178""","=""9780500051177""",0,4.14,Thames  Hudson,Hardcover,320,2002,2002,,2021/08/09,to-read,to-read (#585),to-read,,,,0,,,0,,,,,
36204899,How to Be a Stoic: Using Ancient Philosophy to Live a Modern Life,Massimo Pigliucci,"Pigliucci, Massimo",,"=""1541644530""","=""9781541644533""",4,4.04,Basic Books,Paperback,288,2018,2017,,2021/08/09,,,read,,,,1,,,0,,,,,
385,On Bullshit,Harry G. Frankfurt,"Frankfurt, Harry G.",,"=""0691122946""","=""9780691122946""",3,3.58,Princeton University Press,Hardcover,74,2005,1986,,2021/08/09,,,read,,,,1,,,0,,,,,
29889532,"The Embodied Mind, Revised Edition: Cognitive Science and Human Experience",Francisco J. Varela,"Varela, Francisco J.","Evan Thompson, Eleanor Rosch, Jon Kabat-Zinn","=""026252936X""","=""9780262529365""",0,4.12,MIT Press,Paperback,388,2017,1991,,2021/08/09,to-read,to-read (#584),to-read,,,,0,,,0,,,,,
1052184,Dynamics in Action: Intentional Behavior as a Complex System,Alicia Juarrero,"Juarrero, Alicia",,"=""0262600471""","=""9780262600477""",0,4.45,Bradford Book,Paperback,300,2002,1999,,2021/08/09,to-read,to-read (#582),to-read,,,,0,,,0,,,,,
22219681,"Dungeons & Dragons Starter Set (Dungeons & Dragons, 5th Edition)",James Wyatt,"Wyatt, James",,"=""0786965592""","=""9780786965595""",0,4.40,Wizards of the Coast,Unbound,96,2014,2014,,2021/08/09,to-read,to-read (#581),to-read,,,,0,,,0,,,,,
22221112,"User Story Mapping: Discover the Whole Story, Build the Right Product",Jeff Patton,"Patton, Jeff",Peter Economy,"=""1491904909""","=""9781491904909""",0,4.21,O'Reilly Media,Paperback,324,2014,2012,,2021/08/09,to-read,to-read (#580),to-read,,,,0,,,0,,,,,
18189134,"Discourses, Fragments, Handbook",Epictetus,"Epictetus, Epictetus","Robin Hard, Christopher Gill","=""0199595186""","=""9780199595181""",0,4.43,Oxford University Press,Paperback,355,2014,2,,2021/08/09,to-read,to-read (#579),to-read,,,,0,,,0,,,,,
58661468,Crafting Interpreters,Robert Nystrom,"Nystrom, Robert",,"=""0990582930""","=""9780990582939""",0,4.75,Genever Benning ,Paperback,865,2021,2021,,2021/08/09,to-read,to-read (#578),to-read,,,,0,,,0,,,,,
58044334,The Great Gatsby: The Original 1925 Edition (A F. Scott Fitzgerald Classic Novel),F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""""","=""9798745274824""",0,3.93,,Paperback,,2021,1925,,2021/08/09,to-read,to-read (#577),to-read,,,,0,,,0,,,,,
38840,Boyd: The Fighter Pilot Who Changed the Art of War,Robert Coram,"Coram, Robert",,"=""0316796883""","=""9780316796880""",0,4.06,Back Bay Books,Paperback,504,2004,2002,,2021/08/09,to-read,to-read (#575),to-read,,,,0,,,0,,,,,
1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,"Caro, Robert A.",,"=""0394720245""","=""9780394720241""",0,4.39,Vintage Books,Paperback,1246,1975,1974,,2021/08/09,to-read,to-read (#576),to-read,,,,0,,,0,,,,,
2481588,The 33 Strategies of War,Robert Greene,"Greene, Robert",,"=""0143112783""","=""9780143112785""",0,4.19,Penguin Books,Paperback,512,2007,2005,,2021/08/09,to-read,to-read (#574),to-read,,,,0,,,0,,,,,
9278897,"The 4-Hour Work Week: Escape the 9-5, Live Anywhere and Join the New Rich",Timothy Ferriss,"Ferriss, Timothy",,"=""0091929113""","=""9780091929114""",0,3.92,Vermilion,Paperback,396,2011,2007,,2021/08/09,to-read,to-read (#573),to-read,,,,0,,,0,,,,,
34274493,The Circular Economy: A Wealth of Flows,Ken Webster,"Webster, Ken","Ellen MacArthur, Walter Stahel","=""0992778468""","=""9780992778460""",0,3.84,Ellen MacArthur Foundation Publishing,Paperback,202,2017,2015,,2021/08/09,to-read,to-read (#572),to-read,,,,0,,,0,,,,,
103868,"The Philosophical Writings of Descartes, Volume II",René Descartes,"Descartes, René","John Cottingham, Robert Stoothoff, Dugald Murdoch","=""0521288088""","=""9780521288088""",0,4.12,Cambridge University Press,Paperback,428,1985,1641,,2021/08/09,to-read,to-read (#571),to-read,,,,0,,,0,,,,,
144524,"The Philosophical Writings of Descartes, Volume III: The Correspondence",René Descartes,"Descartes, René","John Cottingham, Robert Stoothoff, Dugald Murdoch, Anthony Kenny","=""0521423503""","=""9780521423502""",0,4.17,Cambridge University Press,Paperback,432,1991,1958,,2021/08/09,to-read,to-read (#569),to-read,,,,0,,,0,,,,,
103870,"The Philosophical Writings of Descartes, Volume I",René Descartes,"Descartes, René","John Cottingham, Robert Stoothoff, Dugald Murdoch","=""052128807X""","=""9780521288071""",0,4.10,Cambridge University Press,Paperback,418,1985,1911,,2021/08/09,to-read,to-read (#570),to-read,,,,0,,,0,,,,,
1890724,The Quantum and the Lotus: A Journey to the Frontiers Where Science and Buddhism Meet,Matthieu Ricard,"Ricard, Matthieu","Trịnh Xuân Thuận, Ian Monk","=""0609608541""","=""9780609608548""",0,4.15,Crown,Hardcover,320,2001,2000,,2021/08/09,to-read,to-read (#568),to-read,,,,0,,,0,,,,,
18554985,The Systems View of Life: A Unifying Vision,Fritjof Capra,"Capra, Fritjof",Pier Luigi Luisi,"=""1107011361""","=""9781107011366""",0,4.26,Cambridge University Press,Hardcover,510,2014,2014,,2021/08/09,to-read,to-read (#567),to-read,,,,0,,,0,,,,,
270881,The Quark and the Jaguar: Adventures in the Simple and the Complex,Murray Gell-Mann,"Gell-Mann, Murray",,"=""0805072535""","=""9780805072532""",0,3.85,St. Martins Press-3PL,Paperback,392,2000,1994,,2021/08/09,to-read,to-read (#566),to-read,,,,0,,,0,,,,,
25437585,What Is Life? South Asian Edition: With Mind and Matter and Autobiographical Sketches,Erwin Schrödinger,"Schrödinger, Erwin",,"=""1107683653""","=""""",0,4.14,Cambridge University Press,Paperback,198,2013,1944,,2021/08/09,to-read,to-read (#565),to-read,,,,0,,,0,,,,,
25330017,"The Biology of Wonder: Aliveness, Feeling and the Metamorphosis of Science",Andreas Weber,"Weber, Andreas",,"=""0865717990""","=""9780865717992""",0,4.00,New Society Publishers,Paperback,336,2016,2016,,2021/08/09,to-read,to-read (#564),to-read,,,,0,,,0,,,,,
13378230,Gardens for a Beautiful America 1895-1935: Photographs by Frances Benjamin Johnston,Sam Watters,"Watters, Sam",,"=""0926494155""","=""9780926494152""",0,5.00,Acanthus Press,Hardcover,377,2012,2012,,2021/06/01,,,read,,,,1,,,0,,,,,
40896227,The Machine Stops,E.M. Forster,"Forster, E.M.",,"=""1978262523""","=""9781978262522""",0,4.07,CreateSpace Independent Publishing Platform,Paperback,48,2017,1909,,2021/06/01,,,read,,,,1,,,0,,,,,
57509932,Concept Design: The Essence of Software,Daniel Jackson,"Jackson, Daniel",,"=""""","=""9798695792010""",4,4.00,,Paperback,,2020,,,2021/06/01,,,read,,,,1,,,0,,,,,
51781479,Privacy is Power: Reclaiming Democracy in the Digital Age,Carissa Véliz,"Véliz, Carissa",,"=""1787634043""","=""9781787634046""",0,4.10,Bantam Press,Hardcover,224,2020,,,2021/06/01,to-read,to-read (#563),to-read,,,,0,,,0,,,,,
55277919,The Secret Lives of Customers: A Detective Story About Solving the Mystery of Customer Behavior,David S Duncan,"Duncan, David S",,"=""1541774493""","=""9781541774490""",0,4.16,PublicAffairs,Hardcover,224,2021,,,2021/06/01,to-read,to-read (#562),to-read,,,,0,,,0,,,,,
192408,Normal Accidents: Living with High-Risk Technologies,Charles Perrow,"Perrow, Charles",,"=""0691004129""","=""9780691004129""",0,4.05,Princeton University Press,Paperback,464,1999,1984,,2021/06/01,to-read,to-read (#561),to-read,,,,0,,,0,,,,,
7467185,Harmony: A New Way of Looking at Our World,"Charles, Prince of Wales","Wales, Charles, Prince of","Tony Juniper, Ian Skelly","=""0061731315""","=""9780061731310""",0,4.04,Harper,Hardcover,336,2010,2010,,2021/06/01,to-read,to-read (#559),to-read,,,,0,,,0,,,,,
9921014,More Money Than God: Hedge Funds and the Making of a New Elite (Council on Foreign Relations Books (Penguin Press)),Sebastian Mallaby,"Mallaby, Sebastian",,"=""0143119419""","=""9780143119418""",0,4.07,Penguin Books,Paperback,463,2011,2010,,2021/06/01,to-read,to-read (#560),to-read,,,,0,,,0,,,,,
53730379,Code as Creative Medium: A Handbook for Computational Art and Design,Golan Levin,"Levin, Golan",Tega Brain,"=""0262542048""","=""9780262542043""",0,4.32,MIT Press,Paperback,280,2021,,,2021/06/01,to-read,to-read (#558),to-read,,,,0,,,0,,,,,
112252,Types and Programming Languages,Benjamin C. Pierce,"Pierce, Benjamin C.",,"=""0262162091""","=""9780262162098""",0,4.26,MIT Press,Hardcover,623,2002,2002,,2021/06/01,to-read,to-read (#557),to-read,,,,0,,,0,,,,,
39736150,The Little Typer,Daniel P. Friedman,"Friedman, Daniel P.","David Thrane Christiansen, Robert Harper, Conor McBride","=""0262536439""","=""9780262536431""",0,4.29,The MIT Press,Paperback,424,2018,2018,,2021/06/01,to-read,to-read (#556),to-read,,,,0,,,0,,,,,
39644174,Designing an Internet,David D. Clark,"Clark, David D.",,"=""0262038609""","=""9780262038607""",0,4.30,The MIT Press,Hardcover,432,2018,,,2021/06/01,,,read,,,,1,,,0,,,,,
787926,"Automata, Computability and Complexity: Theory and Applications",Elaine A. Rich,"Rich, Elaine A.",,"=""0132288060""","=""9780132288064""",0,4.03,Pearson,Hardcover,1099,2007,2007,,2021/06/01,to-read,to-read (#555),to-read,,,,0,,,0,,,,,
51223573,Software Designers in Action: A Human-Centric Look at Design Work,Marian Petre,"Petre, Marian",André van der Hoek,"=""0367379465""","=""9780367379469""",0,4.00,CRC Press,Paperback,452,2019,2013,,2021/06/01,,,read,,,,1,,,0,,,,,
1360795,Tools for Conviviality,Ivan Illich,"Illich, Ivan",,"=""1842300113""","=""9781842300114""",0,4.00,Marion Boyars,Paperback,128,2001,1973,,2021/06/01,to-read,to-read (#554),to-read,,,,0,,,0,,,,,
56669334,"Shape: The Hidden Geometry of Information, Biology, Strategy, Democracy, and Everything Else",Jordan Ellenberg,"Ellenberg, Jordan",,"=""1984879057""","=""9781984879059""",0,3.79,,Hardcover,463,2021,,,2021/06/01,to-read,to-read (#553),to-read,,,,0,,,0,,,,,
